engine,rows,metric,unit,round_1,round_2,round_3,median,min,max
gbaselite,10,insert_s,秒,0.012142200022935867,0.009020199999213219,0.003028800245374441,0.009020199999213219,0.003028800245374441,0.012142200022935867
gbaselite,10,insert_rows_s,行/秒,823.5739800950912,1108.622868769234,3301.637344777662,1108.622868769234,823.5739800950912,3301.637344777662
gbaselite,10,update_s,秒,0.11492730025202036,0.011798500083386898,0.003422900103032589,0.011798500083386898,0.003422900103032589,0.11492730025202036
gbaselite,10,point_p50_ms,毫秒,0.12014992535114288,0.09070010855793953,0.12820004485547543,0.12014992535114288,0.09070010855793953,0.12820004485547543
gbaselite,10,point_p95_ms,毫秒,0.3371001221239567,0.1580999232828617,0.26449980214238167,0.26449980214238167,0.1580999232828617,0.3371001221239567
gbaselite,10,point_p99_ms,毫秒,0.5013002082705498,0.2766000106930733,0.32560015097260475,0.32560015097260475,0.2766000106930733,0.5013002082705498
gbaselite,10,range_ms,毫秒,0.46289991587400436,0.31450018286705017,0.28979964554309845,0.31450018286705017,0.28979964554309845,0.46289991587400436
gbaselite,10,aggregate_ms,毫秒,0.1262999139726162,0.1349998638033867,0.1079002395272255,0.1262999139726162,0.1079002395272255,0.1349998638033867
gbaselite,10,insert_cpu_s,CPU秒,0.015625,0.0,0.0,0.0,0.0,0.015625
gbaselite,10,update_cpu_s,CPU秒,0.03125,0.0,0.0,0.0,0.0,0.03125
gbaselite,10,cpu_s,CPU秒,0.109375,0.03125,0.015625,0.03125,0.015625,0.109375
gbaselite,10,cpu_core_pct,%,22.865018727014107,31.426870427189435,17.83730780493798,22.865018727014107,17.83730780493798,31.426870427189435
gbaselite,10,rss_mib,MiB,23.90234375,23.48046875,23.4921875,23.4921875,23.48046875,23.90234375
gbaselite,10,private_mib,MiB,51.19921875,50.2265625,50.828125,50.828125,50.2265625,51.19921875
gbaselite,10,empty_mib,MiB,0.03159809112548828,0.03159809112548828,0.03159809112548828,0.03159809112548828,0.03159809112548828,0.03159809112548828
gbaselite,10,insert_disk_mib,MiB,0.03159809112548828,0.03159809112548828,0.03159809112548828,0.03159809112548828,0.03159809112548828,0.03159809112548828
gbaselite,10,update_disk_mib,MiB,0.06284809112548828,0.06284809112548828,0.06284809112548828,0.06284809112548828,0.06284809112548828,0.06284809112548828
gbaselite,10,growth_mib,MiB,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125
mysql,10,insert_s,秒,0.003245099913328886,0.003351300023496151,0.002739999908953905,0.003245099913328886,0.002739999908953905,0.003351300023496151
mysql,10,insert_rows_s,行/秒,3081.569217307028,2983.916668125636,3649.6351577682585,3081.569217307028,2983.916668125636,3649.6351577682585
mysql,10,update_s,秒,0.0019009001553058624,0.0019324002787470818,0.0018457998521625996,0.0019009001553058624,0.0018457998521625996,0.0019324002787470818
mysql,10,point_p50_ms,毫秒,0.11994992382824421,0.12990017421543598,0.11949986219406128,0.11994992382824421,0.11949986219406128,0.12990017421543598
mysql,10,point_p95_ms,毫秒,0.27670012786984444,0.2640997990965843,0.25589996948838234,0.2640997990965843,0.25589996948838234,0.27670012786984444
mysql,10,point_p99_ms,毫秒,0.3883000463247299,0.367799773812294,0.381499994546175,0.381499994546175,0.367799773812294,0.3883000463247299
mysql,10,range_ms,毫秒,0.269399955868721,0.33030007034540176,0.2666004002094269,0.269399955868721,0.2666004002094269,0.33030007034540176
mysql,10,aggregate_ms,毫秒,0.24499977007508278,0.24379976093769073,0.1952000893652439,0.24379976093769073,0.1952000893652439,0.24499977007508278
mysql,10,insert_cpu_s,CPU秒,0.0,0.0,0.0,0.0,0.0,0.0
mysql,10,update_cpu_s,CPU秒,0.0,0.0,0.0,0.0,0.0,0.0
mysql,10,cpu_s,CPU秒,0.015625,0.03125,0.015625,0.015625,0.015625,0.03125
mysql,10,cpu_core_pct,%,15.355465503107679,30.673010049417886,13.776363558422972,15.355465503107679,13.776363558422972,30.673010049417886
mysql,10,rss_mib,MiB,225.2265625,224.91015625,224.828125,224.91015625,224.828125,225.2265625
mysql,10,private_mib,MiB,315.01953125,314.1484375,307.98046875,314.1484375,307.98046875,315.01953125
mysql,10,empty_mib,MiB,191.72189903259277,191.7217664718628,191.72190284729004,191.72189903259277,191.7217664718628,191.72190284729004
mysql,10,insert_disk_mib,MiB,191.83127403259277,191.8311414718628,191.83127784729004,191.83127403259277,191.8311414718628,191.83127784729004
mysql,10,update_disk_mib,MiB,191.83127403259277,191.8311414718628,191.83127784729004,191.83127403259277,191.8311414718628,191.83127784729004
mysql,10,growth_mib,MiB,0.109375,0.109375,0.109375,0.109375,0.109375,0.109375
postgresql,10,insert_s,秒,0.0018072999082505703,0.0020039998926222324,0.001587199978530407,0.0018072999082505703,0.001587199978530407,0.0020039998926222324
postgresql,10,insert_rows_s,行/秒,5533.115978343515,4990.020227453709,6300.403311030176,5533.115978343515,4990.020227453709,6300.403311030176
postgresql,10,update_s,秒,0.0009380001574754715,0.0018915003165602684,0.0008286000229418278,0.0009380001574754715,0.0008286000229418278,0.0018915003165602684
postgresql,10,point_p50_ms,毫秒,0.06834999658167362,0.08149980567395687,0.0728496816009283,0.0728496816009283,0.06834999658167362,0.08149980567395687
postgresql,10,point_p95_ms,毫秒,0.1530996523797512,0.1783999614417553,0.21769991144537926,0.1783999614417553,0.1530996523797512,0.21769991144537926
postgresql,10,point_p99_ms,毫秒,0.1921001821756363,0.24960003793239594,0.31139981001615524,0.24960003793239594,0.1921001821756363,0.31139981001615524
postgresql,10,range_ms,毫秒,0.17029978334903717,0.13489974662661552,0.19250018522143364,0.17029978334903717,0.13489974662661552,0.19250018522143364
postgresql,10,aggregate_ms,毫秒,0.18159998580813408,0.1162998378276825,0.12829992920160294,0.12829992920160294,0.1162998378276825,0.18159998580813408
postgresql,10,insert_cpu_s,CPU秒,0.0,0.0,0.0,0.0,0.0,0.0
postgresql,10,update_cpu_s,CPU秒,0.0,0.0,0.0,0.0,0.0,0.0
postgresql,10,cpu_s,CPU秒,0.03125,0.046875,0.0,0.03125,0.0,0.046875
postgresql,10,cpu_core_pct,%,33.78864202684613,47.83988259889803,0.0,33.78864202684613,0.0,47.83988259889803
postgresql,10,rss_mib,MiB,109.3671875,109.7109375,109.59765625,109.59765625,109.3671875,109.7109375
postgresql,10,private_mib,MiB,25.4296875,25.7109375,25.4609375,25.4609375,25.4296875,25.7109375
postgresql,10,empty_mib,MiB,39.302836418151855,39.302836418151855,39.302836418151855,39.302836418151855,39.302836418151855,39.302836418151855
postgresql,10,insert_disk_mib,MiB,39.334086418151855,39.334086418151855,39.334086418151855,39.334086418151855,39.334086418151855,39.334086418151855
postgresql,10,update_disk_mib,MiB,39.334086418151855,39.334086418151855,39.334086418151855,39.334086418151855,39.334086418151855,39.334086418151855
postgresql,10,growth_mib,MiB,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125
sqlite,10,insert_s,秒,0.0010875002481043339,0.0012869001366198063,0.001260099932551384,0.001260099932551384,0.0010875002481043339,0.0012869001366198063
sqlite,10,insert_rows_s,行/秒,9195.400200994352,7770.6107221856155,7935.878529691313,7935.878529691313,7770.6107221856155,9195.400200994352
sqlite,10,update_s,秒,0.0010362002067267895,0.0011473996564745903,0.0010778000578284264,0.0010778000578284264,0.0010362002067267895,0.0011473996564745903
sqlite,10,point_p50_ms,毫秒,0.0024996697902679443,0.002400018274784088,0.002500135451555252,0.0024996697902679443,0.002400018274784088,0.002500135451555252
sqlite,10,point_p95_ms,毫秒,0.00270036980509758,0.003300141543149948,0.0028996728360652924,0.0028996728360652924,0.00270036980509758,0.003300141543149948
sqlite,10,point_p99_ms,毫秒,0.00400003045797348,0.0036996789276599884,0.00600004568696022,0.00400003045797348,0.0036996789276599884,0.00600004568696022
sqlite,10,range_ms,毫秒,0.007400289177894592,0.0074999406933784485,0.0073998235166072845,0.007400289177894592,0.0073998235166072845,0.0074999406933784485
sqlite,10,aggregate_ms,毫秒,0.003600027412176132,0.00380026176571846,0.00380026176571846,0.00380026176571846,0.003600027412176132,0.00380026176571846
sqlite,10,insert_cpu_s,CPU秒,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625
sqlite,10,update_cpu_s,CPU秒,0.0,0.0,0.015625,0.0,0.0,0.015625
sqlite,10,cpu_s,CPU秒,0.046875,0.0625,0.046875,0.046875,0.046875,0.0625
sqlite,10,cpu_core_pct,%,101.58152902603203,134.25759847902032,105.94393587547515,105.94393587547515,101.58152902603203,134.25759847902032
sqlite,10,rss_mib,MiB,23.10546875,22.9921875,23.0234375,23.0234375,22.9921875,23.10546875
sqlite,10,private_mib,MiB,12.79296875,12.6640625,12.73828125,12.73828125,12.6640625,12.79296875
sqlite,10,empty_mib,MiB,0.00390625,0.00390625,0.00390625,0.00390625,0.00390625,0.00390625
sqlite,10,insert_disk_mib,MiB,0.04697418212890625,0.04697418212890625,0.04697418212890625,0.04697418212890625,0.04697418212890625,0.04697418212890625
sqlite,10,update_disk_mib,MiB,0.0509033203125,0.0509033203125,0.0509033203125,0.0509033203125,0.0509033203125,0.0509033203125
sqlite,10,growth_mib,MiB,0.0469970703125,0.0469970703125,0.0469970703125,0.0469970703125,0.0469970703125,0.0469970703125
gbaselite,1000,insert_s,秒,0.024916599970310926,0.06582219991832972,0.06413319986313581,0.06413319986313581,0.024916599970310926,0.06582219991832972
gbaselite,1000,insert_rows_s,行/秒,40133.88669367161,15192.442690167924,15592.548042730776,15592.548042730776,15192.442690167924,40133.88669367161
gbaselite,1000,update_s,秒,0.01970720011740923,0.04931929986923933,0.038245500065386295,0.038245500065386295,0.01970720011740923,0.04931929986923933
gbaselite,1000,point_p50_ms,毫秒,0.09665009565651417,0.08940021507441998,0.08745025843381882,0.08940021507441998,0.08745025843381882,0.09665009565651417
gbaselite,1000,point_p95_ms,毫秒,0.19299983978271484,0.18279999494552612,0.16750022768974304,0.18279999494552612,0.16750022768974304,0.19299983978271484
gbaselite,1000,point_p99_ms,毫秒,0.2687000669538975,0.24419976398348808,0.25200005620718,0.25200005620718,0.24419976398348808,0.2687000669538975
gbaselite,1000,range_ms,毫秒,0.5135000683367252,0.5196998827159405,0.542299821972847,0.5196998827159405,0.5135000683367252,0.542299821972847
gbaselite,1000,aggregate_ms,毫秒,0.5919001996517181,0.6438000127673149,0.761999748647213,0.6438000127673149,0.5919001996517181,0.761999748647213
gbaselite,1000,insert_cpu_s,CPU秒,0.015625,0.0,0.015625,0.015625,0.0,0.015625
gbaselite,1000,update_cpu_s,CPU秒,0.03125,0.0,0.0,0.0,0.0,0.03125
gbaselite,1000,cpu_s,CPU秒,0.078125,0.015625,0.0625,0.0625,0.015625,0.078125
gbaselite,1000,cpu_core_pct,%,61.31553104379037,7.598274245215634,32.21627891983243,32.21627891983243,7.598274245215634,61.31553104379037
